stop	latitude	longitude
Pardubice,Letiště	50.01786	15.72585
Kolín,OC Stará plynárna	50.02104	15.21027
Kladno,Belgická	50.12005	14.11258
Tübingen,Busbahnhof	48.51635	9.05453
Aichach,Bäckerei Zametzer	48.46199	11.13439
Lodz,dw.Fabryczna	51.7702	19.46965
Warszawa,dw.Zachodni PKS	52.21834	20.96334
Letohrad,Nad Bažantnicí	50.04258	16.51316
Hustopeče,Kaufland	48.94945	16.72464
Česká Lípa,U Hřbitova	50.67171	14.59048
Tupesy,u hřiště	49.08993	17.37565
Kiev,žel.st.	50.4466	30.46647
Bremen,ZOB International	53.08215	8.81303
Zinnwald,ZOLL	50.74452	13.75707
Udvar,ZOLL	45.8965	18.66099
Šamac,Autobuska stanica	45.05293	18.47104
Modriča,Autobuska stanica	44.96455	18.30026
Doboj,Autobuska stanica	44.7281	18.09088
Maglaj,Autobuska stanica	44.54586	18.09376
Žepče,Autobuska stanica	44.42239	18.04031
Zenica,Autobuska stanica	44.20909	17.91248
Kakanj,Autobuska stanica	44.12203	18.11057
Visoko,Autobuska stanica	43.99113	18.18403
Sarajevo,Autobuska stanica	43.85883	18.39687
Brno,Tribuny A-B-C	49.20915	16.45306
Brno,Tribuna D	49.20915	16.45306
Geneve,gare rout.-pl.Dorciere	46.20835	6.14685
Lausanne,park.Velodrome	46.53606	6.62238
Bern,Car-Terminal Neufeld	46.96384	7.43366
Saarbrücken,Fernbusbahnhof Dudweilerstrasse	49.24196	7.00049
Marienberg,Markt	50.65107	13.16345
Marienberg,Reitzenhainer Str.	50.64761	13.15998
Marienberg,Neues Haus	50.59466	13.18078
Reitzenhain,Kfz-Werkstatt	50.56499	13.21941
Reitzenhain,Wendeschleife	50.55708	13.21869
Havlíčkův Brod,Stříbrný Dvůr	49.6056	15.60274
Tallinn,aut.nádr.	59.42716	24.77377
Pärnu,aut.nádr.	58.38599	24.50496
Ikla,CLO	-19.04915	-65.24564
Ainaži,CLO	57.86434	24.35822
Riga,aut.nádr.	47.90934	33.42209
Riga,Airport	56.92158	23.98065
Grenctale,CLO	56.31016	24.33711
Saločiai,CLO	56.22839	24.42431
Vilnius,Studentu st.	54.69727	25.26378
Vilnius,aut.nádr.	54.67071	25.28185
Vilnius,Savanoriu prospektas	54.67355	25.24732
Druskininkai,Autobusu Parkas	54.00849	23.98367
Lazdijai,CLO	54.23592	23.51528
Ogrodniki,CLO	49.8518	19.03541
Bialystok,dw.PKS	53.1319	23.1344
Warszawa,Metro Marymont	52.27181	20.96829
Warszawa,Lotnisko Chopina	52.16964	20.97518
Pyrzowice,Wolnosci	50.46796	19.07186
Bílovice-Lutotín,Lutotín,rozc.	49.50804	17.04591
Lešná,Vysoká,točna	49.51854	17.94726
Vítkov,Zálužné,rozcestí	49.81427	17.71064
Vítkov,Nové Těch.	49.80686	17.71473
Szklarska Poręba,Rest.Bombaj	50.8192	15.43672
Szklarska Poręba,Kamieńczyk	50.82323	15.4985
Szklarska Poręba,Średnia	50.83846	15.54002
Piechowice,skryzowanie	50.85171	15.59147
Piechowice,Górne	50.84754	15.57906
Piechowice,centrum	50.84927	15.59231
Sobieszow,pętla	50.84701	15.64171
Podgórzyn,Dolny	50.83704	15.6796
Podgórzyn,Kościół	50.83388	15.68362
Podgórzyn,Milkow	50.80872	15.76208
Karpacz,Bachus	50.77509	15.75748
Karpacz,Bialy Jar	50.77341	15.7388
Holetín,Dolní Holetín	49.80669	15.92176
Vranov n.Dyjí,před hrází	48.90127	15.81745
Stružná,Horní Tašovice,rozc.	50.17157	13.01473
VYSOKÁ	50.11183	14.473
Hradec Králové,Vysoká hostinec	50.15538	15.8179
Vsetín,Jasenice,I	49.36045	18.04744
Veltruby,,I	50.05843	15.18754
Litomyšl,sportovní areál	49.86469	16.31959
Litomyšl,Z.Kopala	49.86211	16.31095
